sha256,malware_family,source,source_reference,source_commit,published_utc,confidence
ee80ffeac68566ae72ee295f3eec983434330180fd914928fbcdb1ba3d48d940,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
eb278bc0bbcef7daeb64c22eae088daf4d7ffe61d3a4132768a3271fc25e71b7,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
d2886d86ef67a3550a4aadcf623aa785fddcd3af754b3035229647f186005b1c,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
bd53ee882175464ead4b87f33ba64b15a6765229c2f2b1e602428c4c90c0bf3a,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
ad517ac379f8b10abdcd3ee0487be625e6c0acdd796cd61998ddf2f9fc2749ea,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
6ae2c88d477ead6e14d0db1d96ac47b954cda22f9115f6d6093956f7ef5de1a8,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
645078ec3f30136b7c75cad0bbf088017fc0301f12118a4fe960ceae64df97d1,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
46593fce8134d82587cc2800f93e29e20d59d3dd6aec109686f6f174c36585b0,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
279ca42cc70c66855be5f5063e5372e3ec818b22f99047cc2a431e11168eb399,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
0a6b4c9b8f1ee01bc2a5e48e5d748a66c21a621f7be9dfa3c30edcb3b65a92b1,Amadey / Stealc,ESET Research,https://www.welivesecurity.com/en/eset-research/eset-takes-part-operation-endgame-disrupt-amadey-stealc/,fa0bdcf30fcd42a36135677fb89fdf16486b0bfb,2026-06-23T13:48:52Z,high
